Date,Price,Open,High,Low,Vol.,Change %
11/5/2018,0.9915,0.9916,0.9946,0.9887,1.94M,-0.01%
11/4/2018,0.9916,0.9942,0.9964,0.99,1.65M,-0.26%
11/3/2018,0.9942,0.9895,0.9963,0.9895,1.22M,0.47%
11/2/2018,0.9895,0.9938,0.9953,0.9885,3.10M,-0.17%
11/1/2018,0.9912,0.992,0.9955,0.9885,3.37M,-0.08%
10/31/2018,0.992,0.9962,0.9964,0.9892,9.65M,-0.14%
10/30/2018,0.9934,0.9931,0.9962,0.9868,16.38M,0.65%
10/29/2018,0.987,1.012,1.012,0.9828,9.94M,-0.37%
10/28/2018,0.9907,1.0084,1.0084,0.9881,18.34M,0.06%
10/27/2018,0.9901,0.9794,1.0083,0.9794,10.33M,1.10%
10/26/2018,0.9794,0.9778,1.0075,0.9766,3.31M,0.16%
10/25/2018,0.9778,0.9786,1.005,0.9753,2.19M,-0.09%
10/24/2018,0.9786,0.978,1.0016,0.9743,989.26K,0.06%
10/23/2018,0.978,0.9985,0.9985,0.9713,2.50M,0.45%
10/22/2018,0.9736,0.9747,0.9994,0.9682,1.86M,-0.11%
10/21/2018,0.9747,1.0001,1.0001,0.9733,1.28M,0.09%
10/20/2018,0.9738,0.9772,1.0034,0.9728,1.59M,-0.35%
10/19/2018,0.9772,0.9648,0.9931,0.9648,2.17M,1.29%
10/18/2018,0.9648,0.9577,0.9899,0.9555,5.39M,0.75%
10/17/2018,0.9577,0.9543,0.9891,0.9525,4.12M,0.35%
10/16/2018,0.9543,0.9569,0.9908,0.9514,12.47M,-0.27%
10/15/2018,0.9569,1.0203,1.0203,0.8718,30.08M,-1.98%
10/14/2018,0.9763,0.9803,1.0202,0.9726,2.72M,-0.41%
10/13/2018,0.9803,1.0212,1.0212,0.9794,1.66M,-0.14%
10/12/2018,0.9817,1.0243,1.0243,0.9719,3.50M,-0.09%
10/11/2018,0.9826,0.9831,1.0078,0.9733,5.30M,-0.05%
10/10/2018,0.9831,1.0049,1.0049,0.983,1.46M,-0.65%
10/9/2018,0.9895,0.9909,1.0042,0.9888,1.30M,-0.15%
10/8/2018,0.9909,0.9942,1.0092,0.9901,2.08M,-0.33%
10/7/2018,0.9942,0.994,0.9942,0.994,611.95K,0.02%
10/6/2018,0.994,0.9922,0.994,0.9922,420.89K,0.18%
10/5/2018,0.9922,1.007,1.007,0.9922,1.67M,-0.18%
10/4/2018,0.9939,0.9937,0.9939,0.9937,1.24M,0.01%
10/3/2018,0.9939,1.0046,1.0046,0.9939,1.16M,0.19%
10/2/2018,0.9919,1.007,1.007,0.9919,2.25M,-0.32%
10/1/2018,0.9951,0.9971,0.9971,0.9951,1.20M,-0.18%
9/30/2018,0.9969,0.9972,1.0042,0.9969,352.28K,-0.03%
9/29/2018,0.9972,0.9983,0.9983,0.9972,503.20K,-0.10%
9/28/2018,0.9983,1.0015,1.0015,0.9983,955.24K,0.06%
9/27/2018,0.9977,0.9976,1.0075,0.9976,2.30M,0.01%
9/26/2018,0.9976,1.0038,1.009,0.9834,3.04M,-0.14%
9/25/2018,0.999,0.999,1.0053,0.9982,1.02M,0.01%
9/24/2018,0.999,1.0002,1.0002,0.999,1.02M,-0.01%
9/23/2018,0.9991,0.9986,1.0019,0.9982,363.34K,0.05%
9/22/2018,0.9986,0.9984,1.0048,0.998,758.20K,0.02%
9/21/2018,0.9984,0.9993,1.0092,0.9811,1.70M,-0.09%
9/20/2018,0.9993,1.0082,1.0082,0.9993,1.69M,-0.89%
9/19/2018,1.0082,0.9992,1.0105,0.9978,21.75K,0.91%
9/18/2018,0.9992,0.9992,1.0137,0.9944,2.01M,0.00%
9/17/2018,0.9992,1.0052,1.0083,0.9992,888.18K,-0.08%
9/16/2018,0.9999,1.0065,1.0066,0.9999,93.31K,0.00%
9/15/2018,1,1.0082,1.0088,0.9991,350.76K,0.03%
9/14/2018,0.9997,1.0088,1.0091,0.9991,1.99M,0.03%
9/13/2018,0.9994,0.9982,1.0165,0.9982,2.78M,0.12%
9/12/2018,0.9982,1.0187,1.0192,0.9918,2.67M,-0.03%
9/11/2018,0.9985,0.9979,0.9985,0.9947,1.21M,0.06%
9/10/2018,0.9979,1.0188,1.0188,0.9979,998.88K,-0.04%
9/9/2018,0.9983,1.0005,1.0285,0.9982,907.54K,-0.22%
9/8/2018,1.0005,0.9999,1.0191,0.9991,784.68K,0.06%
9/7/2018,0.9999,1.0108,1.0141,0.9982,1.81M,0.17%
9/6/2018,0.9982,0.9965,1.0117,0.9965,2.32M,0.17%
9/5/2018,0.9965,0.9969,1.0026,0.9965,5.92M,-0.04%
9/4/2018,0.9969,0.9985,1.0011,0.9969,2.17M,-0.16%
9/3/2018,0.9985,0.9986,0.9986,0.9983,375.51K,-0.01%
9/2/2018,0.9986,0.9983,1.0025,0.9941,1.74M,0.03%
9/1/2018,0.9983,1,1.0043,0.9982,1.73M,-0.16%
8/31/2018,1,1.0044,1.0051,0.9876,2.71M,0.08%
8/30/2018,0.9992,0.9987,0.9992,0.9973,1.02M,0.04%
8/29/2018,0.9987,0.9991,1.0022,0.9978,1.26M,0.01%
8/28/2018,0.9986,0.9999,1.0028,0.9973,3.02M,-0.12%
8/27/2018,0.9999,0.9993,1.022,0.9993,1.48M,0.05%
8/26/2018,0.9993,1.0052,1.0063,0.9929,156.37K,-0.13%
8/25/2018,1.0007,1.0045,1.0133,0.9979,176.54K,0.12%
