Date,Price,Open,High,Low,Vol.,Change %
2/19/2024,2.269,2.2701,2.2895,2.2291,3.38M,-0.05%
2/18/2024,2.2701,2.2324,2.2917,2.2193,3.34M,1.73%
2/17/2024,2.2315,2.1549,2.2394,2.131,3.59M,3.57%
2/16/2024,2.1546,2.2068,2.2372,2.149,3.74M,-2.37%
2/15/2024,2.2068,2.1992,2.2618,2.18,4.39M,0.34%
2/14/2024,2.1993,2.1738,2.2202,2.1543,3.37M,1.24%
2/13/2024,2.1723,2.2135,2.2557,2.167,3.93M,-1.83%
2/12/2024,2.2127,2.0935,2.2417,2.0836,6.53M,5.73%
2/11/2024,2.0928,2.0823,2.1345,2.0797,2.60M,0.55%
2/10/2024,2.0815,2.0868,2.0925,2.0552,2.20M,-0.25%
2/9/2024,2.0868,2.0684,2.0921,2.0659,2.53M,0.89%
2/8/2024,2.0684,2.0532,2.09,2.0497,2.44M,0.74%
2/7/2024,2.0532,2.0486,2.0569,2.0338,2.39M,0.23%
2/6/2024,2.0486,2.0525,2.0641,2.0462,1.90M,-0.20%
2/5/2024,2.0526,2.0506,2.073,2.0363,2.04M,0.07%
2/4/2024,2.0511,2.0433,2.0742,2.0128,2.58M,0.44%
2/3/2024,2.0422,2.0465,2.0582,2.0318,1.76M,-0.20%
2/2/2024,2.0463,2.078,2.1106,2.0448,2.57M,-1.53%
2/1/2024,2.0781,2.0704,2.0928,2.0291,2.99M,0.41%
1/31/2024,2.0696,2.0811,2.1005,2.055,2.81M,-0.55%
1/30/2024,2.0812,2.1129,2.1334,2.0796,2.61M,-1.50%
1/29/2024,2.113,2.1153,2.1345,2.1062,2.08M,-0.12%
1/28/2024,2.1154,2.0827,2.1332,2.0823,2.22M,1.57%
1/27/2024,2.0828,2.0815,2.1051,2.0576,2.56M,0.04%
1/26/2024,2.0819,2.0405,2.1244,2.0401,2.64M,2.03%
1/25/2024,2.0405,2.1162,2.1218,2.0274,3.06M,-3.58%
1/24/2024,2.1162,2.1209,2.1799,2.1007,2.73M,-0.24%
1/23/2024,2.1214,2.1226,2.1515,2.0995,5.73M,0.03%
1/22/2024,2.1208,2.222,2.2306,2.1124,11.07M,-4.62%
1/21/2024,2.2235,2.2726,2.2994,2.214,10.50M,-2.14%
1/20/2024,2.2722,2.1987,2.2726,2.1657,12.31M,3.37%
1/19/2024,2.1982,2.2311,2.2839,2.1574,14.74M,-1.48%
1/18/2024,2.2313,2.3456,2.3678,2.1841,13.20M,-4.87%
1/17/2024,2.3456,2.4154,2.4183,2.2868,13.23M,-2.84%
1/16/2024,2.4141,2.4381,2.4649,2.3778,14.24M,-0.97%
1/15/2024,2.4378,2.2824,2.4623,2.2759,16.89M,6.79%
1/14/2024,2.2827,2.1106,2.4094,2.0781,19.91M,8.16%
1/13/2024,2.1106,2.1248,2.1478,2.0938,15.48M,-0.64%
1/12/2024,2.1243,2.2271,2.2398,2.1133,16.42M,-4.69%
1/11/2024,2.2289,2.2664,2.2987,2.2007,21.30M,-1.78%
1/10/2024,2.2691,2.1872,2.2706,2.1652,17.20M,3.76%
1/9/2024,2.1868,2.2757,2.2963,2.1568,13.47M,-3.87%
1/8/2024,2.2749,2.1988,2.2923,2.1239,14.79M,3.43%
1/7/2024,2.1994,2.1635,2.3364,2.1555,14.90M,1.50%
1/6/2024,2.1668,2.0886,2.1891,2.049,21.73M,3.76%
1/5/2024,2.0883,2.1558,2.1945,2.0692,21.57M,-3.13%
1/4/2024,2.1558,2.1791,2.1876,2.1328,17.08M,-1.07%
1/3/2024,2.1791,2.2403,2.249,1.8973,19.49M,-2.73%
1/2/2024,2.2403,2.2533,2.2963,2.2355,15.39M,-0.58%
1/1/2024,2.2534,2.2496,2.2685,2.2359,8.04M,0.17%
12/31/2023,2.2497,2.3168,2.3185,2.244,8.62M,-2.90%
12/30/2023,2.3168,2.2223,2.3477,2.2094,13.62M,4.26%
12/29/2023,2.2222,2.1847,2.2299,2.1197,11.76M,1.71%
12/28/2023,2.1847,2.1589,2.1883,2.1369,11.07M,1.20%
12/27/2023,2.1589,2.1804,2.1878,2.122,11.74M,-0.98%
12/26/2023,2.1802,2.2254,2.2254,2.1511,11.46M,-2.04%
12/25/2023,2.2255,2.199,2.2352,2.1924,10.48M,1.24%
12/24/2023,2.1983,2.2298,2.2349,2.1723,10.77M,-1.43%
12/23/2023,2.2301,2.2598,2.263,2.2128,9.63M,-1.32%
12/22/2023,2.26,2.2194,2.3415,2.2082,11.28M,1.86%
12/21/2023,2.2186,2.1872,2.326,2.1857,12.36M,1.39%
12/20/2023,2.1881,2.1348,2.2033,2.1338,11.95M,2.54%
12/19/2023,2.134,2.0876,2.1676,2.0847,10.33M,2.23%
12/18/2023,2.0875,2.1433,2.1495,2.0024,11.49M,-2.63%
12/17/2023,2.1439,2.1366,2.1659,2.1,10.61M,0.32%
12/16/2023,2.1372,2.0682,2.2163,2.0514,11.81M,3.29%
12/15/2023,2.069,2.1059,2.1584,2.0555,10.51M,-1.75%
12/14/2023,2.1059,2.1426,2.1474,2.0722,10.29M,-1.72%
12/13/2023,2.1426,2.0313,2.1455,1.9619,11.79M,5.49%
12/12/2023,2.0311,2.1029,2.1189,1.9976,11.51M,-3.41%
12/11/2023,2.1029,2.2428,2.2437,1.8334,14.59M,-6.22%
12/10/2023,2.2423,2.2142,2.2511,2.1566,10.13M,1.27%
12/9/2023,2.2142,2.229,2.2545,2.1705,9.51M,-0.65%
12/8/2023,2.2288,2.2079,2.2688,2.1713,10.15M,0.92%
12/7/2023,2.2086,2.2146,2.2266,2.1654,10.40M,-0.32%
12/6/2023,2.2156,2.2506,2.2835,2.1807,11.37M,-1.56%
12/5/2023,2.2507,2.2768,2.289,2.2339,10.65M,-1.21%
12/4/2023,2.2783,2.2944,2.3263,2.1735,9.82M,-0.70%
12/3/2023,2.2945,2.3187,2.3523,2.2475,8.07M,-1.07%
12/2/2023,2.3193,2.3614,2.3889,2.3126,7.48M,-1.80%
12/1/2023,2.3618,2.3857,2.3981,2.3598,6.43M,-1.00%
11/30/2023,2.3856,2.3892,2.4076,2.3176,6.66M,-0.15%
11/29/2023,2.3892,2.4412,2.4429,2.3308,8.71M,-2.13%
11/28/2023,2.4414,2.4323,2.4566,2.4051,9.04M,0.37%
11/27/2023,2.4325,2.3846,2.4377,2.3037,9.87M,2.00%
11/26/2023,2.3847,2.3629,2.3847,2.2467,5.77M,0.85%
11/25/2023,2.3645,2.3903,2.4126,2.2561,7.50M,-1.09%
