Date,Price,Open,High,Low,Vol.,Change %
11/4/2021,3.2788,3.3891,3.4295,3.2609,136.91K,-3.26%
11/3/2021,3.3891,3.3458,3.4199,3.3156,200.11K,1.30%
11/2/2021,3.3458,3.3135,3.3698,3.3095,169.44K,0.99%
11/1/2021,3.3128,3.3489,3.4012,3.3089,122.75K,-0.80%
10/31/2021,3.3395,3.3194,3.3508,3.2424,130.22K,0.61%
10/30/2021,3.3193,3.2882,3.3201,3.1471,93.55K,0.95%
10/29/2021,3.2882,3.21,3.3618,3.1238,113.75K,2.44%
10/28/2021,3.2099,3.1514,3.2403,3.1218,142.41K,1.86%
10/27/2021,3.1514,3.3787,3.4296,3.141,166.41K,-6.73%
10/26/2021,3.3787,3.2552,3.3794,3.2517,141.94K,3.47%
10/25/2021,3.2655,3.2647,3.2793,3.1484,83.36K,0.03%
10/24/2021,3.2647,3.2141,3.2866,3.041,98.74K,1.57%
10/23/2021,3.2141,3.4146,3.4794,3.2124,78.99K,-5.88%
10/22/2021,3.4147,3.1839,3.4167,3.1839,117.83K,7.25%
10/21/2021,3.1839,3.1675,3.3562,3.023,219.40K,0.52%
10/20/2021,3.1675,2.9781,3.1676,2.9017,182.48K,6.01%
10/19/2021,2.9878,2.9179,2.9884,2.8585,133.64K,2.40%
10/18/2021,2.9177,2.8648,2.9652,2.8579,166.32K,1.53%
10/17/2021,2.8737,2.8976,2.9556,2.8557,168.32K,-0.82%
10/16/2021,2.8976,2.8464,2.9128,2.8381,200.06K,1.81%
10/15/2021,2.846,2.6798,2.9745,2.6263,365.11K,6.20%
10/14/2021,2.6798,2.806,2.8138,2.6686,259.47K,-4.50%
10/13/2021,2.806,2.8002,2.82,2.7555,104.99K,0.21%
10/12/2021,2.8002,2.7437,2.8187,2.7433,138.96K,2.03%
10/11/2021,2.7446,2.7657,2.7835,2.7295,144.74K,-0.77%
10/10/2021,2.7657,2.8283,2.8867,2.7598,129.51K,-2.22%
10/9/2021,2.8286,2.7876,2.8473,2.7714,103.92K,1.45%
10/8/2021,2.7882,2.9004,2.919,2.7666,162.27K,-3.87%
10/7/2021,2.9004,2.9023,2.9646,2.8854,118.03K,-0.07%
10/6/2021,2.9023,2.9548,2.9646,2.885,173.37K,-1.65%
10/5/2021,2.951,2.9055,2.9649,2.9012,146.37K,1.64%
10/4/2021,2.9034,2.949,2.967,2.8813,171.19K,-1.55%
10/3/2021,2.9492,2.9433,2.9708,2.8841,114.37K,0.27%
10/2/2021,2.9412,2.9089,2.9582,2.8957,85.16K,1.57%
10/1/2021,2.8958,2.8265,2.9544,2.8167,129.38K,2.42%
9/30/2021,2.8274,2.9103,2.9982,2.7827,222.75K,-2.85%
9/29/2021,2.9104,2.7499,2.9375,2.6753,107.27K,6.95%
9/28/2021,2.7212,2.7426,2.775,2.6769,189.25K,-1.28%
9/27/2021,2.7564,2.7952,2.8687,2.7016,355.57K,-1.38%
9/26/2021,2.7951,2.8266,2.9213,2.7946,258.37K,-1.11%
9/25/2021,2.8266,2.9692,2.9775,2.826,290.47K,-4.80%
9/24/2021,2.9692,2.999,3.0224,2.9001,436.57K,-0.99%
9/23/2021,2.999,3.0326,3.037,2.9681,115.22K,-1.11%
9/22/2021,3.0326,3.033,3.0419,2.9985,142.56K,-0.01%
9/21/2021,3.0329,2.9707,3.0405,2.9649,421.41K,2.09%
9/20/2021,2.9707,2.9988,3.1067,2.9591,237.65K,-0.93%
9/19/2021,2.9988,3.1079,3.1461,2.9919,88.32K,-3.53%
9/18/2021,3.1086,3.0872,3.1755,3.0197,142.63K,0.69%
9/17/2021,3.0872,3.0437,3.0921,2.9683,134.62K,1.43%
9/16/2021,3.0437,3.1876,3.1921,3.0434,146.03K,-4.51%
9/15/2021,3.1876,3.0583,3.1907,3.0555,116.97K,4.23%
9/14/2021,3.0583,3.0398,3.0586,3.0009,203.40K,0.61%
9/13/2021,3.0398,3.0206,3.0563,3.003,101.39K,0.62%
9/12/2021,3.0212,3.0553,3.0598,3.0032,73.16K,-1.12%
9/11/2021,3.0553,3.0302,3.06,3.01,72.51K,0.83%
9/10/2021,3.0301,3.1186,3.1345,2.9815,313.78K,-2.86%
9/9/2021,3.1192,3.1106,3.1541,3.0632,117.15K,0.28%
9/8/2021,3.1106,3.1353,3.1958,3.0697,171.94K,-0.79%
9/7/2021,3.1353,2.9777,3.2005,2.8725,602.07K,5.30%
9/6/2021,2.9775,2.9776,3.14,2.9416,681.93K,0.17%
9/5/2021,2.9726,2.9872,3.0046,2.9009,455.45K,-0.49%
9/4/2021,2.9872,2.9994,3.0046,2.9762,133.46K,-0.41%
9/3/2021,2.9994,2.9434,2.9994,2.9022,281.99K,1.90%
9/2/2021,2.9434,2.9483,2.9571,2.8721,224.95K,-0.17%
9/1/2021,2.9483,2.9439,2.9594,2.8412,263.68K,0.15%
8/31/2021,2.9439,2.9862,3.003,2.8993,226.42K,-1.91%
8/30/2021,3.0012,2.9699,3.0043,2.946,142.08K,1.05%
8/29/2021,2.9699,2.9934,2.9998,2.9022,143.46K,-0.78%
8/28/2021,2.9934,2.9858,2.9989,2.9523,57.65K,0.25%
