Date,Price,Open,High,Low,Vol.,Change %
5/25/2023,0.9999,0.9998,1.0001,0.9996,1.02M,0.00%
5/24/2023,0.9999,0.9998,1.0001,0.9993,1.05M,0.02%
5/23/2023,0.9998,1,1.0001,0.9992,1.63M,-0.01%
5/22/2023,0.9999,0.9999,1.0002,0.9997,1.47M,0.00%
5/21/2023,0.9999,1,1.0003,0.9998,927.34K,-0.01%
5/20/2023,1,0.9999,1.0005,0.9998,616.65K,0.01%
5/19/2023,0.9999,1.0001,1.0009,0.9975,769.44K,-0.02%
5/18/2023,1.0001,1.0001,1.0014,0.9998,946.78K,0.02%
5/17/2023,0.9999,0.9999,1.0023,0.9997,1.20M,-0.01%
5/16/2023,1,0.9999,1.0027,0.9997,1.05M,0.00%
5/15/2023,1,0.9999,1.0043,0.9997,1.07M,0.00%
5/14/2023,1,0.9999,1.0009,0.9997,303.50K,0.01%
5/13/2023,0.9999,0.9999,1.0011,0.9997,728.68K,0.00%
5/12/2023,0.9999,1,1.0031,0.9996,872.83K,-0.01%
5/11/2023,0.9999,0.9997,1.0011,0.9996,613.97K,0.02%
5/10/2023,0.9997,0.9999,1.0046,0.9996,953.40K,-0.01%
5/9/2023,0.9999,0.9998,1.0002,0.9996,1.03M,0.01%
5/8/2023,0.9998,0.9998,1.0002,0.9996,670.61K,0.00%
5/7/2023,0.9998,0.9999,1.0002,0.9997,336.19K,0.00%
5/6/2023,0.9999,0.9999,1.0001,0.9995,361.80K,0.00%
5/5/2023,0.9999,0.9999,1.0005,0.9997,509.43K,0.00%
5/4/2023,0.9999,0.9999,1.0002,0.9997,483.20K,0.00%
5/3/2023,0.9999,1,1.0004,0.9996,1.24M,-0.02%
5/2/2023,1,1,1.0002,0.9997,424.24K,0.01%
5/1/2023,1,1.0002,1.0004,0.9991,1.39M,-0.03%
4/30/2023,1.0002,1.0001,1.0055,0.9998,327.10K,0.01%
4/29/2023,1.0001,0.9999,1.0004,0.9998,457.95K,0.02%
4/28/2023,0.9999,1,1.0002,0.9987,781.98K,-0.01%
4/27/2023,1,1.0001,1.0003,0.9997,414.81K,-0.01%
4/26/2023,1.0001,0.9999,1.0002,0.9997,583.20K,0.02%
4/25/2023,0.9999,0.9998,1.0001,0.9985,443.89K,0.01%
4/24/2023,0.9998,0.9998,1.0015,0.998,768.89K,-0.01%
4/23/2023,0.9998,0.9997,1.0005,0.9995,315.08K,0.01%
4/22/2023,0.9997,1.0008,1.0014,0.9997,588.12K,-0.10%
4/21/2023,1.0008,0.9997,1.0013,0.999,1.25M,0.11%
4/20/2023,0.9997,0.9999,1.0001,0.9995,499.43K,-0.04%
4/19/2023,1.0001,0.9998,1.0001,0.9993,906.72K,0.03%
4/18/2023,0.9998,0.9997,1.0002,0.9996,1.59M,0.00%
4/17/2023,0.9997,0.9992,1,0.9992,631.99K,0.05%
4/16/2023,0.9992,0.9999,0.9999,0.9986,975.69K,-0.06%
4/15/2023,0.9999,0.9998,0.9999,0.9994,379.35K,0.01%
4/14/2023,0.9998,0.9997,1,0.9958,1.79M,0.00%
4/13/2023,0.9997,0.9997,1.0001,0.9982,842.69K,0.00%
4/12/2023,0.9997,0.9995,1.0001,0.9993,589.54K,0.02%
4/11/2023,0.9995,0.9998,1.0001,0.9991,836.99K,-0.03%
4/10/2023,0.9998,0.9997,0.9998,0.9988,661.80K,0.01%
4/9/2023,0.9997,0.9997,0.9999,0.9983,612.76K,0.00%
4/8/2023,0.9997,0.9997,0.9999,0.9994,460.84K,0.00%
4/7/2023,0.9997,0.9998,1,0.9989,498.18K,-0.01%
4/6/2023,0.9998,0.9997,1,0.9995,811.37K,0.00%
